Scheme,N_users,PLR,PLR_std
Proposed,500,0.15793,0.01895
MADRL,500,0.32742,0.03929
GRLR,500,0.24535,0.02944
STSD,500,0.4489,0.05387
DLBH,500,0.48026,0.05763
Proposed,1000,0.16381,0.01966
MADRL,1000,0.35285,0.04234
GRLR,1000,0.28217,0.03386
STSD,1000,0.46649,0.05598
DLBH,1000,0.4814,0.05777
Proposed,1500,0.19582,0.0235
MADRL,1500,0.3682,0.04418
GRLR,1500,0.27925,0.03351
STSD,1500,0.47543,0.05705
DLBH,1500,0.48208,0.05785
Proposed,2000,0.22543,0.02705
MADRL,2000,0.37753,0.0453
GRLR,2000,0.29973,0.03597
STSD,2000,0.48264,0.05792
DLBH,2000,0.48517,0.05822
Proposed,2500,0.27173,0.03261
MADRL,2500,0.40602,0.04872
GRLR,2500,0.33061,0.03967
STSD,2500,0.48442,0.05813
DLBH,2500,0.49799,0.05976
Proposed,3000,0.3044,0.03653
MADRL,3000,0.41442,0.04973
GRLR,3000,0.35415,0.0425
STSD,3000,0.51291,0.06155
DLBH,3000,0.51581,0.0619
